Zentrum;5.12
Zentrum-Ost;11.18
Zentrum-Südost;11.18
Zentrum-Süd;6.25
Zentrum-West;5.14
Zentrum-Nordwest;3.66
Zentrum-Nord;3.65
Schönefeld-Abtnaundorf;1.1
Schönefeld-Ost;1.09
Mockau-Süd;0.65
Mockau-Nord;0.45
Thekla;0.43
Plaußig-Portitz;0.43
Neustadt-Neuschönefeld;4.56
Volksmarsdorf;4.56
Anger-Crottendorf;2.8
Sellerhausen-Stünz;2.22
Paunsdorf;0.51
Heiterblick;0.54
Mölkau;0.46
Engelsdorf;0.51
Baalsdorf;0.46
Althen-Kleinpösna;0.51
Reudnitz-Thonberg;7.63
Stötteritz;2.43
Probstheida;0.54
Meusdorf;0.54
Liebertwolkwitz;0.29
Holzhausen;0.29
Südvorstadt;5.93
Connewitz;3.26
Marienbrunn;3.25
Lößnig;2.32
Dölitz-Dösen;2.33
Schleußig;3.59
Plagwitz;3.6
Kleinzschocher;2.79
Grzschocher;0.41
Knautkleeberg-Knauthain;0.41
Hartmannsdorf-Knautnaundorf;0.41
Schönau;0.74
Grünau-Ost;0.9
Grünau-Mitte;0.9
Grünau-Siedlung;0.37
Lausen-Grünau;0.37
Grünau-Nord;0.74
Miltitz;0.74
Lindenau;4.25
Altlindenau;4.25
Neulindenau;0.97
Leutzsch;0.97
Böhlitz-Ehrenberg;0.44
Burghausen-Rückmarsdorf;0.44
Möckern;0.65
Wahren;0.65
Lützschena-Stahmeln;0.58
Lindenthal;0.49
Gohlis-Süd;2.2
Gohlis-Mitte;1.13
Gohlis-Nord;1.13
Eutritzsch;1.2
Seehausen;0.04
Wiederitzsch;0.26
