Zentrum;0.64
Zentrum-Ost;3.22
Zentrum-Südost;9.30
Zentrum-Süd;5.40
Zentrum-West;3.71
Zentrum-Nordwest;2.65
Zentrum-Nord;2.16
Schönefeld-Abtnaundorf;0.88
Schönefeld-Ost;0.73
Mockau-Süd;0.20
Mockau-Nord;0.34
Thekla;0.17
Plaußig-Portitz;0.08
Neustadt-Neuschönefeld;3.50
Volksmarsdorf;2.95
Anger-Crottendorf;2.03
Sellerhausen-Stünz;1.26
Paunsdorf;0.50
Heiterblick;0.14
Mölkau;0.20
Engelsdorf;0.33
Baalsdorf;0.06
Althen-Kleinpösna;0.08
Reudnitz-Thonberg;10.63
Stötteritz;2.68
Probstheida;0.24
Meusdorf;0.13
Liebertwolkwitz;0.11
Holzhausen;0.13
Südvorstadt;10.29
Connewitz;4.23
Marienbrunn;1.37
Lößnig;1.83
Dölitz-Dösen;0.76
Schleußig;3.26
Plagwitz;3.66
Kleinzschocher;1.82
Grzschocher;0.27
Knautkleeberg-Knauthain;0.16
Hartmannsdorf-Knautnaundorf;0.04
Schönau;0.22
Grünau-Ost;0.48
Grünau-Mitte;0.77
Grünau-Siedlung;0.10
Lausen-Grünau;0.32
Grünau-Nord;0.42
Miltitz;0.10
Lindenau;2.14
Altlindenau;4.47
Neulindenau;0.43
Leutzsch;0.66
Böhlitz-Ehrenberg;0.32
Burghausen-Rückmarsdorf;0.15
Möckern;0.62
Wahren;0.31
Lützschena-Stahmeln;0.16
Lindenthal;0.22
Gohlis-Süd;2.77
Gohlis-Mitte;1.27
Gohlis-Nord;0.68
Eutritzsch;1.09
Seehausen;0.01
Wiederitzsch;0.16
